UniversalName,Strain,LatestSppName,Reservoir_of_this_strain,Genbank.accession,WholeGenome
Alphapapillomavirus 5,NA,Alphapapillomavirus 5,Human,NC_001583.1,1
Alphapapillomavirus 6,NA,Alphapapillomavirus 6,Human,NC_001593.1,1
Alphapapillomavirus 7,NA,Alphapapillomavirus 7,Human,NC_001357.1,1
Alphapapillomavirus 8,NA,Alphapapillomavirus 8,Human,NC_001595.1,1
Alphapapillomavirus 9,NA,Alphapapillomavirus 9,Human,NC_001526.4,1
Amaparí mammarenavirus,Amapari virus,Serra do Navio mammarenavirus,Rodent,NC_010251.1; NC_010247.1,1
American bat vesiculovirus,American bat vesiculovirus TFFN-2013,American bat vesiculovirus,Vespbat,NC_022755.1,1
Andes orthohantavirus,Andes virus,Andes orthohantavirus,Rodent,NC_003468.2; NC_003467.2; NC_003466.1,1
Anguillid perhabdovirus,Eel virus European X,Anguillid perhabdovirus,Fish,NC_022581.1,1
Anopheles A orthobunyavirus,Anopheles A virus isolate original,Anopheles A orthobunyavirus,NA,KY793537.1; KY793538.1; KY793539.1,1
Anopheles B orthobunyavirus,NA,Anopheles B orthobunyavirus,NA,FJ660417.1,0
Apoi virus,Apoi virus,Apoi virus,Rodent,NC_003676.1,1
Aquamavirus A,Seal picornavirus type 1,Aquamavirus A,Carnivore,NC_009891.1,1
Aravan lyssavirus,Aravan virus,Aravan lyssavirus,Vespbat,NC_020808.1,1
Arboretum almendravirus,Arboretum virus,Arboretum almendravirus,Orphan,NC_025393.1,1
Arenavirus H0030026,Arenavirus H0030026,Arenavirus H0030026,Rodent,GQ903697.1,0
Aroa virus,Aroa virus,Aroa virus,Rodent,NC_009026.2,1
Arumowot virus,Arumowot virus,Arumowot virus,Rodent,NC_023635.1; NC_023633.1; NC_023634.1,1
Astrovirus Er/SZAL6/HUN/2011,Astrovirus Er/SZAL6/HUN/2011,Astrovirus Er/SZAL6/HUN/2011,Orphan,NC_027426.1,1
Astrovirus MLB2,Astrovirus MLB2,Astrovirus MLB2,Human,NC_016155.1,1
Astrovirus MLB3,Astrovirus MLB3,Astrovirus MLB3,Human,NC_019028.1,1
Astrovirus VA3,Astrovirus VA3,Astrovirus VA3,Human,NC_019026.1,1
Astrovirus VA4,Astrovirus VA4,Astrovirus VA4,Human,NC_019027.1,1
Astrovirus wild boar/WBAstV-1/2011/HUN,Astrovirus wild boar/WBAstV-1/2011/HUN,Astrovirus wild boar/WBAstV-1/2011/HUN,Artiodactyl,NC_016896.1,1
Ateline alphaherpesvirus 1,NA,Ateline alphaherpesvirus 1,NonHumanPrimate,NC_034446.1,1
Ateline gammaherpesvirus 2,NA,Ateline gammaherpesvirus 2,NonHumanPrimate,NA,NA
Atlantic salmon calicivirus,Atlantic salmon calicivirus,Atlantic salmon calicivirus,Fish,NC_024031.1,1
Aura virus,Aura virus,Aura virus,Orphan,NC_003900.1,1
Australian bat lyssavirus,Australian bat lyssavirus,Australian bat lyssavirus,NA,NC_003243.1,1
Avastrovirus 1,Avastrovirus 1,Avastrovirus 1,Galliformes,NC_002470.1,1
Avastrovirus 2,Chicken astrovirus,Avastrovirus 2,Galliformes,NC_003790.1,1
Avastrovirus 3,Avastrovirus 3,Avastrovirus 3,Anseriformes,NC_005790.1,1
Avian avulavirus 1,Newcastle disease virus,Avian orthoavulavirus 1,Galliformes,NC_039223.1,1
Avian avulavirus 10,Avian paramyxovirus penguin,Avian metaavulavirus 10,Sphenisciformes,NC_025349.3,1
Avian avulavirus 11,Avian paramyxovirus 11,Avian metaavulavirus 11,Orphan,NC_025407.1,1
Avian avulavirus 12,Avian paramyxovirus 12,Avian orthoavulavirus 12,Orphan,NC_025363.1,1
Avian avulavirus 3,Avian paramyxovirus 3,Avian paraavulavirus 3,Galliformes,NC_025373.1,1
Avian avulavirus 4,Avian paramyxovirus 4,Avian paraavulavirus 4,Anseriformes,NC_019531.1,1
Avian avulavirus 5,Avian paramyxovirus 5,Avian metaavulavirus 5,Psittaciformes,NC_025361.1,1
Avian avulavirus 6,Avian paramyxovirus 6,Avian metaavulavirus 6,Anseriformes,NC_039194.1,1
Avian avulavirus 7,Avian paramyxovirus 7,Avian metaavulavirus 7,Galliformes,NC_025347.1,1
Avian avulavirus 8,Avian paramyxovirus 8,Avian metaavulavirus 8,Anseriformes,NC_039195.1,1
Avian avulavirus 9,Avian paramyxovirus 9,Avian orthoavulavirus 9,Orphan,NC_025390.1,1
Avian coronavirus,Infectious bronchitis virus,Avian coronavirus,Galliformes,NC_001451.1,1
Avian metapneumovirus,Avian metapneumovirus,Avian metapneumovirus,Galliformes,NC_007652.1,1
Avihepatovirus A,Duck hepatitis A virus,Avihepatovirus A,Anseriformes,NC_008250.2,1
Avisivirus B,Chicken picornavirus 2,Avisivirus B,Galliformes,NC_024766.1,1
Avisivirus C,Chicken picornavirus 3,Avisivirus C,Galliformes,NC_024767.1,1
Avisivirus Pf-CHK1/AsV,Avisivirus Pf-CHK1/AsV,Avisivirus Pf-CHK1/AsV,Orphan,NC_028970.1,1
Aydin virus,Pestivirus strain Aydin/04-TR,Pestivirus I,Artiodactyl,NC_018713.1,1
Baboon orthoreovirus,NA,Baboon orthoreovirus,NonHumanPrimate,NC_015877.1; NC_015878.1; NC_015879.1; NC_015880.1; NC_015881.1; NC_015882.1; NC_015883.1; NC_015884.1; NC_015886.1; NC_015885.1,1
Bagaza virus,Bagaza virus,Bagaza virus,Galliformes,NC_012534.1,1
Bakau orthobunyavirus,NA,Bakau orthobunyavirus,NA,AM711134.1,0
Banna virus,Banna virus strain JKT-6423,Banna virus,Artiodactyl,NC_004211.1; NC_004217.1; NC_004218.1; NC_004219.1; NC_004220.1; NC_004221.1; NC_004204.1; NC_004203.1; NC_004202.1; NC_004201.1; NC_004200.1; NC_004198.1,1
Banzi virus,NA,Banzi virus,Orphan,DQ859056.1,1
Barmah Forest virus,Barmah Forest virus,Barmah Forest virus,Orphan,NC_001786.1,1
Barur ledantevirus,NA,Barur ledantevirus,Orphan,NC_034535.1,1
Bas-Congo tibrovirus,Bas-Congo virus,Bas-Congo tibrovirus,Orphan,JX297815.1,0
Bastrovirus BAS-1,Bastrovirus 7,Bastrovirus BAS-1,Human,NC_035758.1,1
Bastrovirus BAS-2,Bastrovirus BAS-2,Bastrovirus BAS-2,Orphan,NC_035471.1,1
Bastrovirus BAS-3,Bastrovirus BAS-3,Bastrovirus BAS-3,Rodent,NC_032484.1,1
Bastrovirus-like_virus/VietNam/Bat/17819_21,Bastrovirus-like_virus/VietNam/Bat/17819_21,Bastrovirus-like_virus/VietNam/Bat/17819_21,Orphan,NC_032426.1,1
Bastrovirus/VietNam/Porcine/17489_85,Bastrovirus/VietNam/Porcine/17489_85,Bastrovirus/VietNam/Porcine/17489_85,Orphan,NC_032423.1,1
Bat coronavirus BM48-31/BGR/2008,Bat coronavirus BM48-31,Bat coronavirus BM48-31/BGR/2008,Pterobat,NC_014470.1,1
Bat coronavirus CDPHE15,Bat coronavirus CDPHE15,Bat coronavirus CDPHE15,Vespbat,NC_022103.1,1
Bat coronavirus HKU10,Bat coronavirus HKU10,Bat coronavirus HKU10,Pterobat,NC_018871.1,1
Bat hepatovirus,Bat hepatovirus,Bat hepatovirus,Vespbat,NC_028366.1,1
Bat Hp-betacoronavirus/Zhejiang2013,Bat Hp-betacoronavirus,Bat Hp-betacoronavirus/Zhejiang2013,Orphan,NC_025217.1,1
Bat picornavirus 1,Bat picornavirus 1,Bat picornavirus 1,Vespbat,NC_015940.1,1
Bat picornavirus 2,Bat picornavirus 2,Bat picornavirus 2,Vespbat,NC_015941.1,1
Bat picornavirus 3,Bat picornavirus 3,Bat picornavirus 3,Pterobat,NC_015934.1,1
Bat sapovirus TLC58/HK,Bat sapovirus TLC58 HK,Bat sapovirus TLC58/HK,Pterobat,NC_017936.1,1
Bayou orthohantavirus,NA,Bayou orthohantavirus,Rodent,NC_038299.1; NC_038300.1; NC_038298.1,1
Bean necrotic mosaic virus,Bean necrotic mosaic virus,Bean necrotic mosaic virus,Plant,NC_018070.1; NC_018072.1; NC_018071.1,1
Bear Canyon mammarenavirus,Bear canyon virus,Bear Canyon mammarenavirus,Rodent,NC_010255.1; NC_010256.1,1
Bebaru virus,Bebaru virus,Bebaru virus,Orphan,NC_016962.1,1
Beilong virus,Beilong virus,Beilong virus,Rodent,NC_007803.1,1
Beluga whale coronavirus SW1,Beluga Whale coronavirus SW1,Beluga whale coronavirus SW1,Orphan,NC_010646.1,1
Berrimah ephemerovirus,Berrimah virus,Berrimah ephemerovirus,Artiodactyl,NC_025358.1,1
Betacoronavirus 1,Human coronavirus OC43,Betacoronavirus 1,Human,NC_006213.1,1
Betacoronavirus HKU24,Betacoronavirus HKU24,Betacoronavirus HKU24,Rodent,NC_026011.1,1
Betapapillomavirus 1,NA,Betapapillomavirus 1,Human,NC_001531.1,1
Betapapillomavirus 2,NA,Betapapillomavirus 2,Human,NC_001596.1,1
Betapapillomavirus 3,NA,Betapapillomavirus 3,Human,NC_001591.1,1
Betapapillomavirus 4,NA,Betapapillomavirus 4,Human,NC_004500.1,1
Betapapillomavirus 5,NA,Betapapillomavirus 5,Human,NC_005134.2,1
Bimiti orthobunyavirus,NA,Bimiti orthobunyavirus,Rodent,KP792657.1; KP792656.1; KP792655.1,1
Black Creek Canal orthohantavirus,NA,Black Creek Canal orthohantavirus,Rodent,GU997097.1,0
Bluetongue virus,NA,Bluetongue virus,Artiodactyl,NC_006023.1; NC_006013.2; NC_006014.1; NC_006024.2; NC_006025.1; NC_006010.1; NC_006022.1; NC_006007.1; NC_006008.1; NC_006015.1,1
Bokeloh bat lyssavirus,Bokeloh bat lyssavirus,Bokeloh bat lyssavirus,Vespbat,NC_025251.1,1
Border disease virus,Border disease virus,Pestivirus D,Artiodactyl,NC_003679.1,1
Bos taurus polyomavirus 1,NA,Bos taurus polyomavirus 1,Artiodactyl,NC_001442.1,1
Bouboui virus,NA,Bouboui virus,Orphan,NC_033693.1,1
Bovine alphaherpesvirus 1,NA,Bovine alphaherpesvirus 1,Artiodactyl,NC_001847.1,1
Bovine alphaherpesvirus 2,NA,Bovine alphaherpesvirus 2,Artiodactyl,M21628.1,0
Bovine alphaherpesvirus 5,NA,Bovine alphaherpesvirus 5,Artiodactyl,NC_005261.2,1
Bovine astrovirus B170/HK,Bovine astrovirus B170/HK,Bovine astrovirus B170/HK,Artiodactyl,NC_023632.1,1
Bovine astrovirus B18/HK,Bovine astrovirus B18/HK,Bovine astrovirus B18/HK,Artiodactyl,NC_023631.1,1
Bovine astrovirus B76/HK,Bovine astrovirus B76/HK,Bovine astrovirus B76/HK,Artiodactyl,NC_023629.1,1
Bovine astrovirus CH13,Bovine astrovirus CH13,Bovine astrovirus CH13,Artiodactyl,NC_024498.1,1
Bovine atadenovirus D,NA,Bovine atadenovirus D,Artiodactyl,NC_002685.2,1
Bovine fever ephemerovirus,Bovine ephemeral fever virus,Bovine fever ephemerovirus,Artiodactyl,NC_002526.1,1
Bovine foamy virus,NA,Bovine foamy virus,Artiodactyl,NC_001831.1,1
Bovine gammaherpesvirus 4,NA,Bovine gammaherpesvirus 4,Artiodactyl,NC_002665.1,1
Bovine hepacivirus,Bovine hepacivirus,Bovine hepacivirus,Artiodactyl,NC_026797.1,1
Bovine immunodeficiency virus,NA,Bovine immunodeficiency virus,Artiodactyl,NC_001413.1,1
Bovine leukemia virus,NA,Bovine leukemia virus,Artiodactyl,NC_001414.1,1
Bovine mastadenovirus A,NA,Bovine mastadenovirus A,Artiodactyl,AC_000191.1,1
Bovine mastadenovirus B,NA,Bovine mastadenovirus B,Artiodactyl,AC_000002.1,1
Bovine mastadenovirus C,NA,Bovine mastadenovirus C,Artiodactyl,AF027599.2,1
Bovine orthopneumovirus,Bovine respiratory syncytial virus,Bovine orthopneumovirus,Artiodactyl,NC_001989.1,1
Bovine papular stomatitis virus,NA,Bovine papular stomatitis virus,Artiodactyl,NC_005337.1,1
Bovine respirovirus 3,Bovine parainfluenza virus 3,Bovine respirovirus 3,Artiodactyl,NC_002161.1,1
Bovine torovirus,Breda virus,Bovine torovirus,Artiodactyl,NC_007447.1,1
Bovine viral diarrhea virus 1,Bovine viral diarrhea virus 1,Pestivirus A,Artiodactyl,NC_001461.1,1
Bovine viral diarrhea virus 2,Bovine viral diarrhea virus 2,Pestivirus B,Artiodactyl,NC_002032.1,1
Bovine viral diarrhea virus 3,Bovine viral diarrhea virus 3,Pestivirus H,Artiodactyl,NC_012812.1,1
Brazoran virus,Brazoran virus,Brazoran virus,Orphan,NC_022039.1; NC_022038.1; NC_022037.1,1
Bubaline alphaherpesvirus 1,NA,Bubaline alphaherpesvirus 1,Artiodactyl,KU936049.1,1
Bujaru phlebovirus,NA,Bujaru phlebovirus,Orphan,NC_033830.1; NC_033847.1; NC_033831.1,1
Bukalasa bat virus,NA,Bukalasa bat virus,Vespbat,NA,NA
Bundibugyo ebolavirus,Bundibugyo virus,Bundibugyo ebolavirus,Orphan,NC_014373.1,1
Bunyamwera orthobunyavirus,Bunyamwera virus,Bunyamwera orthobunyavirus,Orphan,NC_001925.1; NC_001926.1; NC_001927.1,1
Burkina Faso astrovirus,Burkina Faso astrovirus,Burkina Faso astrovirus,Human,NC_024472.1,1
Bwamba orthobunyavirus,NA,Bwamba orthobunyavirus,NA,NC_034479.1; NC_034490.1; NC_034480.1,1
Cabassou virus,NA,Cabassou virus,Orphan,AF075259.1,1
Cacipacore virus,Cacipacore virus,Cacipacore virus,Orphan,NC_026623.1,1
Calicivirus isolate TCG,Calicivirus isolate TCG,Calicivirus isolate TCG,Artiodactyl,NC_006875.1,1
California encephalitis orthobunyavirus,La Crosse Virus,California encephalitis orthobunyavirus,Rodent,NC_004108.1; NC_004109.1; NC_004110.1,1
Alethinophid 2 reptarenavirus,Boa arenavirus,California reptarenavirus,Reptile,NC_023762.1; NC_023761.1,1
Mamastrovirus 4,California sea lion astrovirus 2,Mamastrovirus 4,Carnivore,NC_034975.1,0
Callitrichine gammaherpesvirus 3,NA,Callitrichine gammaherpesvirus 3,NonHumanPrimate,NC_004367.1,1
Camelpox virus,NA,Camelpox virus,Artiodactyl,NC_003391.1,1
Candiru phlebovirus,Candiru virus,Candiru phlebovirus,Orphan,NC_015374.1; NC_015373.1; NC_015375.1,1
Canid alphaherpesvirus 1,NA,Canid alphaherpesvirus 1,Carnivore,NC_030117.1,1
Canine astrovirus,Canine astrovirus,Canine astrovirus,Carnivore,NC_026814.1,1
Canine calicivirus,Canine calicivirus,Canine calicivirus,Carnivore,NC_004542.1,1
Canine mastadenovirus A,NA,Canine mastadenovirus A,Carnivore,NC_001734.1,1
Canine morbillivirus,Canine distemper virus,Canine morbillivirus,Carnivore,NC_001921.1,1
Canine pneumovirus,Canine pneumovirus,Canine pneumovirus,Carnivore,NC_025344.1,1
Cano Delgadito orthohantavirus,NA,Cano Delgadito orthohantavirus,Rodent,NC_034515.1; NC_034525.1; NC_034528.1,1
Caprine alphaherpesvirus 1,NA,Caprine alphaherpesvirus 1,Artiodactyl,AF078728.2,0
Caprine arthritis encephalitis virus,NA,Caprine arthritis encephalitis virus,Artiodactyl,NC_001463.1,1
Capsicum chlorosis virus,Capsicum chlorosis virus,Capsicum chlorosis orthotospovirus,Plant,NC_008302.1; NC_008303.1; NC_008301.1,1
Caraparu orthobunyavirus,NA,Caraparu orthobunyavirus,NonHumanPrimate,NC_034489.1; NC_034477.1; NC_034478.1,1
Cardamones virus,Cardamones virus,Cardamones virus,Rodent,KC669690.1; KC669696.1,1
Cardiovirus A,NA,Cardiovirus A,Rodent,NC_001479.1,1
Cardiovirus B,NA,Cardiovirus B,Rodent,NC_001366.1,1
Carey Island virus,NA,Carey Island virus,Pterobat,NA,NA
Carnivore amdoparvovirus 1,NA,Carnivore amdoparvovirus 1,Carnivore,MF285607.1,1
Carnivore bocaparvovirus 1,NA,Carnivore bocaparvovirus 1,Carnivore,NC_004442.1,1
Carnivore protoparvovirus 1,NA,Carnivore protoparvovirus 1,Carnivore,NC_001539.1,1
Carp sprivivirus,Spring viraemia of carp virus,Carp sprivivirus,Fish,NC_002803.1,1
Catarina virus,Catarina virus,Catarina virus,Rodent,DQ865245.1,0
Catu orthobunyavirus,NA,Catu orthobunyavirus,NA,KP792660.1; KP792659.1; KP792658.1,1
Caviid betaherpesvirus 2,NA,Caviid betaherpesvirus 2,Rodent,NC_020231.1,1
Cedar henipavirus,Cedar virus,Cedar henipavirus,Pterobat,NC_025351.1,1
Cell fusing agent virus,Cell fusing agent virus,Cell fusing agent virus,Insect,NC_001564.2,1
Cercopithecine alphaherpesvirus 2,NA,Cercopithecine alphaherpesvirus 2,NonHumanPrimate,NC_006560.1,1
Cercopithecine alphaherpesvirus 9,NA,Cercopithecine alphaherpesvirus 9,NonHumanPrimate,NC_002686.2,1
Cercopithecine betaherpesvirus 5,NA,Cercopithecine betaherpesvirus 5,NonHumanPrimate,NC_012783.2,1
Cercopithecine gammaherpesvirus 14,NA,Cercopithecine gammaherpesvirus 14,NonHumanPrimate,NA,NA
Cervid alphaherpesvirus 1,NA,Cervid alphaherpesvirus 1,Artiodactyl,MH036942.1,1
Cervid alphaherpesvirus 2,NA,Cervid alphaherpesvirus 2,Artiodactyl,MH036943.1,1
Cetacean morbillivirus,Dolphin morbillivirus,Cetacean morbillivirus,Cetacean,NC_005283.1,1
Chandipura vesiculovirus,Chandipura virus,Chandipura vesiculovirus,Orphan,NC_020805.1,1
Changuinola virus,NA,Changuinola virus,Pilosa,NC_022639.1; NC_022633.1; NC_022634.1; NC_022640.1; NC_022635.1; NC_022641.1; NC_022636.1; NC_022637.1; NC_022642.1; NC_022638.1,1
Chaoyang virus,Chaoyang virus,Chaoyang virus,Insect,NC_017086.1,1
Chapare mammarenavirus,Chapare virus,Chapare mammarenavirus,Rodent,NC_010563.1; NC_010562.1,1
Chicken calicivirus,Chicken calicivirus,Chicken calicivirus,Galliformes,NC_033081.1,1
Chicken gallivirus 1,Chicken gallivirus 1,Chicken gallivirus 1,Galliformes,NC_024770.1,1
Chicken megrivirus,Chicken megrivirus,Chicken megrivirus,Galliformes,NC_023857.1,1
Chicken orivirus 1,Chicken orivirus 1,Chicken orivirus 1,Orphan,NC_025432.1,1
Chicken picornavirus 1,Chicken picornavirus 1,Chicken picornavirus 1,Galliformes,NC_024765.1,1
Chicken picornavirus 4,Chicken picornavirus 4,Chicken picornavirus 4,Orphan,NC_024768.1,1
Chicken picornavirus 5,Chicken picornavirus 5,Chicken picornavirus 5,Orphan,NC_024769.1,1
Chicken proventriculitis virus,Chicken proventriculitis virus,Chicken proventriculitis virus,Orphan,KJ690629.1,1
Chicken sicinivirus JSY,Chicken sicinivirus JSY,Chicken sicinivirus JSY,Orphan,NC_028380.1,1
Chikungunya virus,Chikungunya epidemic strain (SE Asia) Human,Chikungunya virus,Human,HM045787.1,1
Chobar Gorge virus,NA,Chobar Gorge virus,Orphan,NC_027553.1; NC_027554.1; NC_027555.1; NC_027556.1; NC_027557.1; NC_027558.1; NC_027559.1; NC_027560.1; NC_027561.1; NC_027562.1,1
Classical swine fever virus,Classical swine fever virus,Pestivirus C,Artiodactyl,NC_002657.1,1
Coastal Plains tibrovirus,Coastal Plains virus,Coastal Plains tibrovirus,Artiodactyl,NC_025397.1,1
Cocal vesiculovirus,NA,Cocal vesiculovirus,NA,NC_028255.1,1
Colorado tick fever virus,NA,Colorado tick fever virus,Rodent,NC_004181.1; NC_004182.1; NC_004183.1; NC_004184.1; NC_004185.1; NC_004186.1; NC_004187.1; NC_004188.1; NC_004180.1; NC_004189.1; NC_004191.1; NC_004190.1,1
Common moorhen coronavirus HKU21,Common-moorhen coronavirus HKU21,Common moorhen coronavirus HKU21,Orphan,NC_016996.1,1
Coronavirus HKU15,Porcine coronavirus HKU15,Coronavirus HKU15,Artiodactyl,NC_016990.2,1
Corriparta virus,NA,Corriparta virus,NA,KC853042.1; KC853043.1; KC853044.1; KC853045.1; KC853046.1; KC853047.1; KC853048.1; KC853049.1; KC853050.1; KC853051.1,1
Cowbone Ridge virus,NA,Cowbone Ridge virus,Rodent,NA,NA
Cowpox virus,NA,Cowpox virus,Rodent,NC_003663.2,1
Crimean-Congo hemorrhagic fever orthonairovirus,Crimean-Congo hemorrhagic fever virus,Crimean-Congo hemorrhagic fever orthonairovirus,Orphan,NC_005301.3; NC_005300.2; NC_005302.1,1
Culex flavivirus,Culex flavivirus,Culex flavivirus,Insect,NC_008604.2,1
Culex tritaeniorhynchus rhabdovirus,Culex tritaeniorhynchus rhabdovirus,Culex tritaeniorhynchus rhabdovirus,Insect,NC_025384.1,1
Cupixi mammarenavirus,Cupixi virus,Cupixi mammarenavirus,Rodent,NC_010252.1; NC_010254.1,1
Curionopolis curiovirus,Curionopolis virus,Curionopolis curiovirus,Orphan,NC_025354.1,1
Dakar bat virus,NA,Dakar bat virus,Vespbat,NA,NA
Dandenong virus,Dandenong virus,Dandenong virus,Rodent,EU136039.1; EU136038.1,1
Deltapapillomavirus 1,NA,Deltapapillomavirus 1,Artiodactyl,NC_001524.1,1
Deltapapillomavirus 2,NA,Deltapapillomavirus 2,Artiodactyl,NC_001523.1,1
Deltapapillomavirus 3,NA,Deltapapillomavirus 3,Artiodactyl,NC_001789.1,1
Deltapapillomavirus 4,NA,Deltapapillomavirus 4,Artiodactyl,NC_001522.1,1
Dengue virus,Dengue virus 1,Dengue virus,Human,NC_001477.1,1
Dera Ghazi Khan orthonairovirus,NA,Dera Ghazi Khan orthonairovirus,Orphan,KU925437.1; KU925438.1; KU925439.1,1
Dhori virus,NA,Dhori thogotovirus,NA,NC_034261.1; NC_034263.1; NC_034254.1; NC_034255.1; NC_034262.1; NC_034256.1,1
Dobrava-Belgrade orthohantavirus,Dobrava-Belgrade virus,Dobrava-Belgrade orthohantavirus,Rodent,NC_005235.1; NC_005234.1; NC_005233.1,1
Dolphin rhabdovirus,Dolphin rhabdovirus,Dolphin rhabdovirus,Cetacean,NC_025406.1,1
Donggang virus,Donggang virus,Donggang virus,Insect,NC_016997.1,1
Dromedary astrovirus,Dromedary astrovirus,Dromedary astrovirus,Artiodactyl,NC_027711.1,1
Drosophila melanogaster sigmavirus,Drosophila melanogaster sigmavirus,Drosophila melanogaster sigmavirus,Insect,NC_013135.1,1
Drosophila obscura sigmavirus,Drosophila obscura sigmavirus,Drosophila obscura sigmavirus,Insect,NC_022580.1,1
Duck megrivirus,Duck megrivirus,Duck megrivirus,Anseriformes,NC_024120.1,1
Duck picornavirus GL/12,Duck picornavirus GL/12,Aalivirus A,Orphan,NC_023985.1,1
Dugbe orthonairovirus,Dugbe virus,Dugbe orthonairovirus,Artiodactyl,NC_004159.1; NC_004158.1; NC_004157.1,1
Duvenhage lyssavirus,Duvenhage virus,Duvenhage lyssavirus,Vespbat,NC_020810.1,1
Eastern equine encephalitis virus,Eastern equine encephalitis virus,Eastern equine encephalitis virus,Passeriformes,NC_003899.1,1
Ectromelia virus,NA,Ectromelia virus,Rodent,NC_004105.1,1
Eggplant mottled dwarf nucleorhabdovirus,Eggplant mottled dwarf virus,Eggplant mottled dwarf nucleorhabdovirus,Plant,NC_025389.1,1
Eilat virus,Eilat virus,Eilat virus,Insect,NC_018615.1,1
El Moro Canyon orthohantavirus,NA,El Moro Canyon orthohantavirus,Rodent,U26828.1; U11427.1,0
Entebbe bat virus,Entebbe bat virus,Entebbe bat virus,Vespbat,NC_008718.1,1
Enterovirus A,Enterovirus A71,Enterovirus A,Human,KU254596.1,1
Enterovirus B,Human enterovirus 107,Enterovirus B,Human,AB426609.1,1
Enterovirus C,Human poliovirus 2,Enterovirus C,Human,KJ170575.1,1
Enterovirus D,NA,Enterovirus D,Human,NC_001430.1,1
Enterovirus G,NA,Enterovirus G,Artiodactyl,NC_004441.1,1
Enterovirus H,NA,Enterovirus H,NonHumanPrimate,NC_003988.1,1
Enterovirus I,Dromedary camel enterovirus,Enterovirus I,Artiodactyl,KP345887.1,1
Epizootic hemorrhagic disease virus,NA,Epizootic hemorrhagic disease virus,Artiodactyl,NC_013396.1; NC_013397.1; NC_013398.1; NC_013399.1; NC_013400.1; NC_013401.1; NC_013403.1; NC_013402.1; NC_013404.1; NC_013405.1,1
Epsilonpapillomavirus 1,NA,Epsilonpapillomavirus 1,Artiodactyl,NC_004195.1,1
Equid alphaherpesvirus 1,NA,Equid alphaherpesvirus 1,Perissodactyla,NC_001491.2,1
Equid alphaherpesvirus 3,NA,Equid alphaherpesvirus 3,Perissodactyla,NC_024771.1,1
Equid alphaherpesvirus 4,NA,Equid alphaherpesvirus 4,Perissodactyla,NC_001844.1,1
Equid alphaherpesvirus 8,NA,Equid alphaherpesvirus 8,Perissodactyla,NC_017826.1,1
Equid alphaherpesvirus 9,NA,Equid alphaherpesvirus 9,Perissodactyla,NC_011644.1,1
